lsanr,x,y,standort,baulast,bezirk,blindens,bemerkung,locid,mapem
0986 (006),23596065.948251,56504188.840165,Düsseldorfer Straße / Höhenhauser Ring,StrNRW,Mülheim,nein,---,nein,nein
0987 (007),23595934.235852,56501838.749883,Düsseldorfer Straße / Ricarda-Huch-Straße / Moses-Heß-Straße,StrNRW,Mülheim,nein,---,nein,nein
0313 (113),23514777.119505,56446240.68212,Militärringstraße / Friedrich-Schmidt-Straße,StrNRW,Lindenthal,nein,---,nein,nein
1157,23578722.126063,56439333.103655,Im Hasental / Alter Mühlenweg,Stadt Köln,Innenstadt,nein,---,nein,ja
1183,23582825.727598,56430307.631008,Siegburger Straße / Am Schnellert,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1386,23555211.021403,56433815.583941,Eifelplatz / Warnblinkanlage,Stadt Köln,Innenstadt,nein,---,nein,nein
1100,23575493.485448,56442662.468799,Troisdorfer Str. / Helenenwallstr.,Stadt Köln,Innenstadt,nein,---,nein,nein
1101,23576080,56442828,Troisdorfer Straße / Severinsbrücke / Deutzer Ring,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1102,23576719,56442112,Gotenring / Severinsbrücke / Deutzer Ring,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1103,23578265.647905,56443337.165174,Gotenring / Suevenstraße / Schaurtestraße,Stadt Köln,Innenstadt,ja - akustisch+taktil+LocID,---,ja,nein
1104,23578866.263991,56444646.55934,Gotenring / Alarichstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,nein
1106,23579264.84663,56447704.259563,Gotenring / Deutzer Freiheit / Deutz-Kalker Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1107,23581795.75857,56447958.496181,Deutz-Kalker Straße / Östliche Zubringerstraße/ Opladener Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1108,23577315.693741,56450853.492238,Opladener Straße / Ottoplatz / Neuhöfferstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil+LocID,---,ja,ja
1109,23579568.028469,56449745.203993,Justinianstraße / Constantinstraße,Stadt Köln,Innenstadt,ja - taktil,---,nein,nein
1110,23581233.40417,56452655.291988,Deutz-Mülheimer Straße / Barmer Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,nein
1111,23582037.64549,56454173.530455,Deutz-Mülheimer Straße / Messe-Haupteingang,Stadt Köln,Innenstadt,nein,---,nein,nein
1112,23582952.611202,56455511.152134,Deutz-Mülheimer Straße / Messekreisel Süd / Brügelmannstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1113,23583384.677484,56456465.173697,Deutz-Mülheimer Straße / Messekreisel Nord,Stadt Köln,Innenstadt,nein,---,nein,nein
1114,23583686.838863,56455751.440638,Deutz-Mülheimer Straße / Messekreisel Ost / Pfälzischer Ring,Stadt Köln,Innenstadt,nein,---,nein,nein
1164,23574400.597787,56442337.705585,Siegburger Straße / Troisdorfer Straße,Stadt Köln,Innenstadt,nein,---,nein,ja
1165,23575321.939434,56440389.02129,Siegburger Straße / Teutonenstraße,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1167,23578831.52565,56435160.051035,Siegburger Straße / Kaltenborn Weg,Stadt Köln,Innenstadt,nein,---,nein,ja
1168,23580673.346637,56432446.472921,Siegburger Straße / Poller Kirchweg,Stadt Köln,Innenstadt,nein,---,nein,ja
1170,23574200.9,56446012.1,Siegburger Straße / Arminiusstraße / Herbert-Liebertz-Weg,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1171,23574510.431975,56447496.471249,Siegburger Straße / Deutzer Brücke / Deutzer Freiheit,Stadt Köln,Innenstadt,nein,---,nein,nein
1173,23575512.356468,56450700.73353,Hermann-Pünder Str. / Mindener Str.,Stadt Köln,Innenstadt,ja - taktil,---,nein,nein
1174,23576249.827113,56450946.896664,Ottoplatz / Auenweg / Hermann-Pünder Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil+LocID,---,ja,ja
1176,23576140.205336,56453072.685111,Auenweg / Charles-de-Gaulle-Platz,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1182,23576904.684591,56438243.322397,Siegburger Straße / Im Hasental / Alfred-Schütte-Allee,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
